Date,Return
2015-08-31,-0.008078742210109624
2015-09-01,-0.029847885945772146
2015-09-02,0.018980752708618764
2015-09-03,0.0007166341990658687
2015-09-04,-0.015136839445671346
2015-09-08,0.02513118217345589
2015-09-09,-0.0133718332983509
2015-09-10,0.0054418559879472195
2015-09-11,0.004544549654452945
2015-09-14,-0.003710806731653027
2015-09-15,0.012499141097295219
2015-09-16,0.00866692470830377
2015-09-17,-0.0022481055043629405
2015-09-18,-0.016341282365305076
2015-09-21,0.0051676903221800075
2015-09-22,-0.01297983175126205
2015-09-23,-0.001598639215056652
2015-09-24,-0.003615872305525958
2015-09-25,-0.00025901997028054957
2015-09-28,-0.025097363650860016
2015-09-29,0.0005852029798578684
2015-09-30,0.01865833354530899
2015-10-01,0.0026090615133744777
2015-10-02,0.014937500076363186
